_id,ObjectId,ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
1872,1872,2019,D14,Other Criminal Code Violations,Other,956,871
1873,1873,2019,D31,Crimes Against Property,Theft Over $5000,86,18
1874,1874,2019,D12,Crimes Against Property,Other,564,206
1875,1875,2018,D51,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,214,182
1876,1876,2019,D14,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,91,81
1877,1877,2019,D31,Crimes Against Property,Theft Under $5000,2359,764
1878,1878,2019,D12,Crimes Against Property,Theft Over $5000,45,6
1879,1879,2018,D51,Other Federal Statute Violations,Other,34,27
1880,1880,2018,D52,Controlled Drugs and Substances Act,Other,206,195
1881,1881,2018,D52,Crimes Against Property,Auto Theft,99,19
1882,1882,2018,D52,Crimes Against Property,Break & Enter-Apartment,138,43
1883,1883,2018,D52,Crimes Against Property,Break & Enter-Commercial,292,128
1884,1884,2018,D52,Crimes Against Property,Break & Enter-House,8,3
1885,1885,2018,D52,Crimes Against Property,Break & Enter-Other,54,17
1886,1886,2018,D52,Crimes Against Property,Fraud,1171,422
1887,1887,2018,D52,Crimes Against Property,Other,1231,490
1888,1888,2018,D52,Crimes Against Property,Theft Over $5000,112,33
1889,1889,2018,D52,Crimes Against Property,Theft Under $5000,6217,1796
1890,1890,2018,D52,Crimes Against the Person,Assault,1463,913
1891,1891,2018,D52,Crimes Against the Person,Attempt Murder,4,4
1892,1892,2018,D52,Crimes Against the Person,Other,292,134
1893,1893,2018,D52,Crimes Against the Person,Robbery-Financial,11,9
1894,1894,2018,D52,Crimes Against the Person,Robbery-Other,199,111
1895,1895,2018,D52,Crimes Against the Person,Sexual Violation,206,91
1896,1896,2018,D52,Criminal Code Traffic,Other,71,68
1897,1897,2018,D52,Other Criminal Code Violations,Other,2425,2163
1898,1898,2018,D52,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,167,157
1899,1899,2018,D52,Other Federal Statute Violations,Other,31,24
1900,1900,2018,D53,Controlled Drugs and Substances Act,Other,90,85
1901,1901,2018,D53,Crimes Against Property,Auto Theft,229,37
1902,1902,2018,D53,Crimes Against Property,Break & Enter-Apartment,153,33
1903,1903,2018,D53,Crimes Against Property,Break & Enter-Commercial,148,31
1904,1904,2018,D53,Crimes Against Property,Break & Enter-House,178,13
1905,1905,2018,D53,Crimes Against Property,Break & Enter-Other,35,5
1906,1906,2018,D53,Crimes Against Property,Fraud,737,75
1907,1907,2018,D53,Crimes Against Property,Other,702,170
1908,1908,2018,D53,Crimes Against Property,Theft Over $5000,89,12
1909,1909,2018,D53,Crimes Against Property,Theft Under $5000,3399,779
1910,1910,2018,D53,Crimes Against the Person,Assault,703,350
1911,1911,2018,D53,Crimes Against the Person,Attempt Murder,1,1
1912,1912,2018,D53,Crimes Against the Person,Other,219,94
1913,1913,2018,D53,Crimes Against the Person,Robbery-Financial,6,5
1914,1914,2018,D53,Crimes Against the Person,Robbery-Other,120,46
1915,1915,2018,D53,Crimes Against the Person,Sexual Violation,115,46
1916,1916,2019,D14,Other Federal Statute Violations,Other,10,10
1917,1917,2019,D31,Crimes Against the Person,Assault,1395,949
1918,1918,2019,D12,Crimes Against Property,Theft Under $5000,1502,525
1919,1919,2019,D22,Controlled Drugs and Substances Act,Other,107,96
1920,1920,2019,D31,Crimes Against the Person,Attempt Murder,17,10
1921,1921,2019,D12,Crimes Against the Person,Assault,740,520
1922,1922,2019,D22,Crimes Against Property,Auto Theft,469,27
1923,1923,2019,D31,Crimes Against the Person,Other,327,183
1924,1924,2019,D12,Crimes Against the Person,Attempt Murder,23,14
1925,1925,2019,D22,Crimes Against Property,Break & Enter-Apartment,126,31
